Dominance,Reps,Cue,Weighted.Bias,Relatedness,Bias,Mean,Median,Z.Mean,Z.Median,Unrel.Delta,Z.Unrel.Delta
Dominant,Short,ARMS,0.013888889,0.018181818,0.763888889,1420.625,1223.5,-0.557986381,-0.961615542,-307.0416667,-0.815690159
Dominant,Short,BALL,0.06918239,0.076388889,0.905660377,1337.625,1095.5,-0.511731125,-0.874340738,47.625,0.254961394
Dominant,Short,BAR,0.059701493,0.062992126,0.947761194,1135.888889,920,-0.704817371,-0.656133921,-385.4861111,-0.552214734
Dominant,Short,BATTERY,0.095890411,0.1,0.95890411,1842.5,1352,-0.147157717,-0.370964693,478.1666667,-0.384280399
Dominant,Short,BEAM,0.528455285,0.706521739,0.74796748,1009.875,837,-0.686960826,-0.870369315,-733.6964286,-1.177777629
Dominant,Short,BEEF,0.296296296,0.298136646,0.99382716,1270.111111,1399,-0.467130053,-0.542990537,-659.6031746,-1.109815088
Dominant,Short,BILL,0.104347826,0.117647059,0.886956522,944.5,859.5,-0.877953705,-0.866135564,-910.5,-1.419113828
Dominant,Short,BOLT,0.056737589,0.072727273,0.780141844,1365.111111,1671,-0.41070468,-0.188418333,-316.8888889,-0.781069366
Dominant,Short,BULB,0.01459854,0.016129032,0.905109489,1307.5,1254.5,-0.538711409,-0.961072581,5.5,-0.45795815
Dominant,Short,CABLE,0.766917293,0.842975207,0.909774436,975.6666667,929,-0.593651512,-0.650329096,-698.7333333,-1.045186467
Dominant,Short,CALF,0.741935484,0.92,0.806451613,1395.5,1507.5,-0.778114803,-0.881220696,37.35714286,-0.92901
Dominant,Short,CANE,0.043478261,0.074626866,0.582608696,947.25,939.5,-0.683985723,-0.719792254,-330.0833333,-1.130655328
Dominant,Short,CHEST,0.108695652,0.131578947,0.826086957,1349.5,1254.5,0.201357061,-0.085674295,-160.3571429,0.167541947
Dominant,Short,CLOG,0.416666667,0.515463918,0.808333333,1311.571429,1150,-0.442097141,-0.776268879,-429.8571429,-0.596507742
Dominant,Short,CLUB,0.021276596,0.022222222,0.957446809,1451.8,1503,-0.244977172,-0.042614767,-73.2,0.257677827
Dominant,Short,COAT,0.203125,0.211382114,0.9609375,1541.625,1216.5,-0.196817348,-0.349713549,145.7678571,0.106657512
Dominant,Short,CRICKET,0.196850394,0.221238938,0.88976378,1282.428571,1208,-0.52504108,-0.400240651,-111.5714286,-0.367880306
Dominant,Short,CRUST,0.496350365,0.527131783,0.941605839,1419.444444,1280,-0.283567445,-0.495380786,-100.5555556,-0.099563157
Dominant,Short,CYCLE,0.423423423,0.546511628,0.774774775,1535,1598.5,-0.140060012,-0.150979446,119.75,0.267551467
Dominant,Short,DEGREE,0.212389381,0.352941176,0.601769912,1104.142857,1022,-0.734269435,-0.756332652,-380.6571429,-0.593326301
Dominant,Short,DIGIT,0.763736264,0.858024691,0.89010989,1298.5,1361,-0.234173441,-0.449710865,-395.75,-0.407882908
Dominant,Short,DOUGH,0.551797838,0.587628866,0.93902439,1091.333333,967,-0.860871568,-0.904486432,-426.2916667,-0.664412497
Dominant,Short,FAN,0.267175573,0.296610169,0.900763359,1428.625,1264.5,-0.304420702,-0.419103327,-147.375,-0.191531264
Dominant,Short,FAULT,0.256880734,0.294736842,0.871559633,1306.428571,1155,-0.665301445,-1.070166208,-83.44642857,-0.717818959
Dominant,Short,FOOT,0.277108434,0.283950617,0.975903614,1641,1309,-0.344740859,-0.652562886,73,-0.575064624
Dominant,Short,GRAIN,0.415384615,0.529411765,0.784615385,1095.25,938.5,-0.318376477,-0.46083367,-246.625,0.05927618
Dominant,Short,HORN,0.05511811,0.05785124,0.952755906,1267.142857,1117,-0.641156415,-0.818611029,-472,-0.670759649
Dominant,Short,IRON,0.076470588,0.132653061,0.576470588,1331.428571,1447,-0.698676453,-0.842526266,-183.2380952,-0.714710441
