type,bias,CUE,DOM,SUB,UNREL
NV,N,STUB,TICKET,HURT,MAJOR
NV,N,POP,SODA,BURST,BELLS
NV,N,JERK,MEAN,YANK,DEEP
NV,N,PAGE,PAPER,CALL,HONEY
NV,N,FLY,BUG,AIRPLANE,FROZEN
NV,N,LOAF,BREAD,LAZY,ROLE
NV,N,RELISH,PICKLE,ENJOY,RECALL
NV,N,BOLT,SCREW,RUN,KISS
NV,N,SLUG,SNAIL,SLAP,RAFT
NV,N,PEER,FRIEND,LOOK,NIGHT
NV,N,GROOM,BRIDE,COMB,DIME
NV,N,SQUASH,VEGETABLE,FLATTEN,PARANOIA
NV,N,PARK,PICNIC,STOP,COUNT
NV,N,STUMP,WOOD,CONFUSE,CARPET
NV,N,COAST,SHORE,GLIDE,FEAST
NV,N,PICTURE,PORTRAIT,IMAGINE,CLIENTS
NV,N,DART,THROW,SPRINT,PORCH
NV,N,HAMPER,LAUNDRY,HINDER,HARVEST
NV,N,DOCTOR,HOSPITAL,TAMPER,CIRCLES
NV,N,VAULT,BANK,JUMP,SOUL
NV,N,COUNTER,KITCHEN,OPPOSE,SHRINK
NV,N,SCALE,WEIGHT,CLIMB,THUMB
NV,N,TIRE,WHEEL,SLEEP,ANGEL
NV,N,MUG,COFFEE,ROB,GROW
NV,N,PRUNE,FRUIT,CUT,WALL
NV,N,BAR ,BEER,FORBID,SWING
NV,N,HARBOR,BOAT,SHELTER,ISSUE
NV,N,TRAIN,RAILROAD,TEACH,REALITY
NV,N,EGG,CHICKEN,TAUNT,VELVET
NV,N,HARP,MUSIC,NAG,NOON
NV,N,HAND,GLOVE,GIVE,NONE
NV,N,SOCK,SHOE,HIT,TEN
NV,N,FOIL,ALUMINUM,RUIN,STREAM
NV,N,SKIRT,BLOUSE,AVOID,ROBOT
NV,N,SWAMP,MARSH,OVERWHELM,ROOFTOP
NV,N,SOIL,PLANT,SMUDGE,GRAVY
NV,N,DUCK,GOOSE,UNDER,CLOCK
NV,N,DITCH,DIRT,LEAVE,MOVIE
NV,V,QUIVER,TREMBLE,ARROW,SPLASH
NV,V,PUNCH,FIGHT,DRINK,CLOSE
NV,V,BARK,DOG,TREE,ROAD
NV,V,DASH,RUN,SALT,ROCK
NV,V,PITCH,CATCH,TONE,DUMB
NV,V,GRATE,SHRED,SEWER,SCALP
NV,V,VACUUM,CLEAN,SPACE,HORSE
NV,V,SWALLOW,CHEW,BIRD,EARL
NV,V,HIDE,SEEK,COW,BAT
NV,V,BOIL,WATER,PIMPLE,DETAIL
NN,,JOINT,ELBOW,MARIJUANA,PAJAMAS
NN,,DEGREE,COLLEGE,TEMPERATURE,FORGOTTEN
NN,,CANE,ELDERLY,SUGAR,PEANUT
NN,,NUT,ALMOND,CRAZY,LIQUOR
NN,,MARBLE,STONE,ROUND,MAGIC
NN,,STRAW,HAY,SIP,OWL
NN,,CHEST,BREAST,TREASURE,MUSICAL
NN,,PIT,HOLE,CHERRY,CRASH
NN,,LIMB,ARM,BRANCH,PLATE
NN,,BILL,CHECK,LAW,FACT
NN,,TRUNK,CAR,ELEPHANT,GROUND
NN,,HABIT,CUSTOM,NUN,TUBES
NN,,YARD,FENCE,MILE,SLAVE
NN,,FAULT,BLAME,EARTHQUAKE,HOMEWORK
NN,,SENTENCE,PARAGRAPH,JUDGMENT,POSSESSED
NN,,BEAM,LIGHT,BALANCE,COUSIN
NN,,NAIL,HAMMER,POLISH,WISDOM
NN,,STAFF,FACULTY,STICK,ORANGE
NN,,GRAIN,WHEAT,SAND,DELAY
NN,,BALL,BOUNCE,DANCE,TARGET
NN,,ARMS,BODY,WEAPONS,SIMPLE
NN,,CABLE,TELEVISION,CORD,WHISTLE
NN,,BATTERY,ACID,ASSAULT,STABLE
NN,,HORN,TRUMPET,ANTLER,STAPLE
NN,,TEMPLE,CHURCH,FOREHEAD,KISSING
NN,,CALF,ANIMAL,LEG,MOON
NN,,CRICKET,INSECT,SPORT,CANDLE
NN,,RULER,MEASURE,KING,SIGNAL
NN,,LETTER,MAIL,ALPHABET,PLANTS
NN,,PUPIL,STUDENT,EYE,FIELD
NN,,GAS,PETROLUEM,SOLID,PAYROLL
NN,,FAN,AIR,SPORTS,BEAR
NN,,GAME,FOOTBALL,HUNT,TONGUE
NN,,POOL,SWIM,BILLIARDS,CURFEW
NN,,KEY,LOCK,PIANO,HILL
NN,,KID,CHILD,GOAT,STONE
NN,,BULB,LAMP,FLOWER,SUITS
NN,,DOUGH,COOKIE,MONEY,HOTEL
NN,,CABINET,SHELF,MINISTRY,THREAD
NN,,DIGIT,NUMBER,FINGER,CAUGHT
NN,,YARN,WOOL,STORY,PILOT 
NN,,LOG,CABIN,JOURNAL,WAITER
NN,,FOOT,TOE,INCH,HAWK
NN,,BEEF,COMPLAINT,COMPLAINT,BLANKET
NN,,DIAMOND,GEM,BASEBALL,MANUAL
NN,,POKER,CHIPS,FIRE,GLASS
NN,,RACKET,TENNIS,NOISE,EXPERT
NN,,CRUST,PIE,EARTH ,DOGS
