PID,BIAS,REPS,T0,T1,T2,T3,T4,T5,T6,T7,T8
1,dominant,3,887.7916667,978,1002,1003,1386,737,730,850,866
1,dominant,30,887.7916667,1131,939,770,890,595,987,834,1186
1,subordinate,3,1125.416667,674,801,1546,947,914,2189,1796,1115
1,subordinate,30,1125.416667,770,938,923,1146,1626,896,1291,986
1,unrelated,3,1883.958333,947,1019,1138,1091,882,1378,2052,3147
1,unrelated,30,1883.958333,906,4202,2010,1378,2770,1979,2217,1163
2,dominant,3,1039.291667,1093,843,1459,827,644,1139,891,803
2,dominant,30,1039.291667,1317,851,714,1700,1107,1107,667,1891
2,subordinate,3,1149.458333,579,939,915,891,932,1300,1291,1284
2,subordinate,30,1149.458333,899,723,1859,1003,1771,2171,845,1027
2,unrelated,3,2021.625,4342,1532,1691,1684,1299,1964,2642,2443
2,unrelated,30,2021.625,2300,1274,2691,2075,2123,1371,1803,2715
3,dominant,3,1471.375,1171,858,1010,2787,1147,1036,4012,1003
3,dominant,30,1471.375,2842,786,1050,1394,1460,946,1179,1680
3,subordinate,3,1703.958333,1844,1387,1033,1900,3227,1299,1553,1771
3,subordinate,30,1703.958333,1666,3292,868,963,995,1737,2610,1921
3,unrelated,3,2110.166667,2171,1185,1771,4196,4323,3788,900,2066
3,unrelated,30,2110.166667,2284,2444,2474,1435,969,1642,1939,2516
4,dominant,3,1103.833333,957,1348,868,756,1337,787,842,642
4,dominant,30,1103.833333,756,1906,812,3106,1124,1180,964,739
4,subordinate,3,1260.333333,1322,1019,1075,1083,1267,2123,1132,1579
4,subordinate,30,1260.333333,875,1108,1346,859,1613,1138,1050,1155
4,unrelated,3,1737.416667,1018,1746,2371,1122,1411,1467,3424,994
4,unrelated,30,1737.416667,1419,2115,1082,1124,2908,1579,2516,1115
5,dominant,3,946.9583333,924,1171,883,1090,610,1148,1059,812
5,dominant,30,946.9583333,2059,1027,747,627,875,587,1013,954
5,subordinate,3,1063.333333,955,1372,1012,3099,653,635,745,1670
5,subordinate,30,1063.333333,731,1260,980,610,770,819,651,1106
5,unrelated,3,1173.208333,1428,857,1011,1898,1092,2451,603,1117
5,unrelated,30,1173.208333,1579,1339,1123,969,947,841,1052,899
6,dominant,3,1016.166667,1106,714,1402,850,658,891,642,2626
6,dominant,30,1016.166667,762,1146,1635,1154,858,538,762,866
6,subordinate,3,1413.25,1130,947,1146,890,738,1354,1930,1163
6,subordinate,30,1413.25,770,2626,2018,1170,610,690,762,1055
6,unrelated,3,1259.708333,1122,1690,874,1483,1034,1259,1186,826
6,unrelated,30,1259.708333,1747,939,1075,1026,1603,762,3354,811
8,dominant,3,1111.916667,737,666,1522,827,1764,762,1242,810
8,dominant,30,1111.916667,842,682,2187,874,842,1107,1466,1346
8,subordinate,3,1384,907,675,1234,945,1131,3882,1763,1474
8,subordinate,30,1384,746,1578,962,2235,1034,1091,1020,746
8,unrelated,3,1796.958333,2460,1139,1915,1684,1603,1323,1346,3091
8,unrelated,30,1796.958333,1683,1090,1427,1954,1018,3906,1706,1027
9,dominant,3,1385.25,1034,946,938,1002,1530,1130,1490,2330
9,dominant,30,1385.25,1794,2458,1170,690,1962,1515,739,1010
9,subordinate,3,1675.75,2178,3274,2147,1186,1346,690,1243,3235
9,subordinate,30,1675.75,898,3018,1634,2355,1570,850,1154,2509
9,unrelated,3,2286.416667,3338,2202,1458,2106,1346,1170,3539,1546
9,unrelated,30,2286.416667,3403,2755,3194,1178,2050,1346,2210,1290
10,dominant,3,1085.291667,1474,970,939,930,731,1267,786,938
10,dominant,30,1085.291667,1211,1267,1002,1034,971,1474,826,1274
10,subordinate,3,1257.375,1522,2458,850,986,1378,970,875,1138
10,subordinate,30,1257.375,1314,994,1346,1059,859,906,1706,1550
10,unrelated,3,2855.666667,1419,4211,2226,15043,1459,1418,1090,2082
10,unrelated,30,2855.666667,1338,2034,3306,2179,4387,3019,1746,2010
11,dominant,3,914.25,667,690,618,594,986,986,778,553
11,dominant,30,914.25,2563,714,1203,938,1474,650,579,1675
11,subordinate,3,899.125,690,826,778,2010,753,986,781,1010
11,subordinate,30,899.125,1146,666,722,794,849,761,1034,961
11,unrelated,3,988.3333333,843,962,794,730,914,1250,1236,1482
11,unrelated,30,988.3333333,1266,754,1378,723,722,986,786,842
12,dominant,3,1182.708333,1293,826,1210,1850,762,1299,1252,938
12,dominant,30,1182.708333,715,786,1002,1204,858,690,1010,2444
12,subordinate,3,1190.666667,1082,834,1146,1155,3915,2546,970,785
12,subordinate,30,1190.666667,642,827,1034,1129,1090,1019,1299,1283
12,unrelated,3,1293.791667,907,1274,1330,1073,961,1322,1801,1362
12,unrelated,30,1293.791667,2099,1275,1146,1522,971,930,1802,1074
14,dominant,3,1113.75,875,842,802,954,1033,1954,1362,1610
14,dominant,30,1113.75,2234,706,867,890,1035,883,898,906
14,subordinate,3,1200.541667,1474,850,1041,770,858,1866,1101,793
14,subordinate,30,1200.541667,1138,1138,2122,689,2779,1052,833,1342
14,unrelated,3,1823.958333,1611,2793,836,1298,1026,1914,5642,3235
14,unrelated,30,1823.958333,1451,851,1772,1769,859,1634,2057,1799
15,dominant,3,1532.375,1146,729,2339,1146,1051,1641,1394,1746
15,dominant,30,1532.375,1689,1082,730,1538,898,898,1650,1450
15,subordinate,3,1781.75,995,2609,1506,1242,1402,1827,1875,1099
15,subordinate,30,1781.75,2394,1227,1418,1267,2842,1410,1227,722
15,unrelated,3,2224.666667,1899,1050,1851,1042,1594,1963,1635,3876
15,unrelated,30,2224.666667,2291,2226,4674,2290,1171,4147,2123,1666
16,dominant,3,1108.208333,1131,2354,1250,899,890,1930,778,610
16,dominant,30,1108.208333,802,866,1466,1002,690,915,611,514
16,subordinate,3,1795.25,1378,674,1466,3450,2746,5547,1612,2074
16,subordinate,30,1795.25,1218,1010,1122,1066,914,1234,2306,867
16,unrelated,3,2035.916667,4339,738,1274,4594,1450,1330,1946,1098
16,unrelated,30,2035.916667,1570,1403,2530,3930,994,1283,978,3235
17,dominant,3,1829,1274,1466,1579,3290,1746,5875,803,2866
17,dominant,30,1829,1154,3059,1098,1593,1332,2362,2244,1354
17,subordinate,3,2542.375,10618,4539,5954,1611,1467,1059,1378,1273
17,subordinate,30,2542.375,1378,3241,1385,1698,1961,2042,1093,923
17,unrelated,3,2526.416667,2643,2826,1890,4474,1481,1578,1662,2250
17,unrelated,30,2526.416667,6289,2651,2602,1516,4730,2618,2107,1450
18,dominant,3,1471.416667,1242,1402,1098,1042,1058,1042,3500,2710
18,dominant,30,1471.416667,2482,1011,1290,890,1171,1330,1547,1410
18,subordinate,3,1906.041667,1547,2419,1146,1170,995,1170,1490,1139
18,subordinate,30,1906.041667,3730,1154,2803,4818,1706,1938,1610,1130
18,unrelated,3,1795.5,1483,1650,1786,2898,2466,2242,2122,2609
18,unrelated,30,1795.5,866,1474,1186,1322,2178,1074,1434,2403
19,dominant,3,1445.291667,1826,4875,1139,1251,1018,826,1074,722
19,dominant,30,1445.291667,827,1154,2058,978,3042,930,2380,1170
19,subordinate,3,1579.583333,3625,842,1770,1338,1291,978,2180,1690
19,subordinate,30,1579.583333,1146,1370,1219,2595,1099,914,2490,898
19,unrelated,3,2765.583333,4011,5483,1426,1395,2058,2420,2818,2291
19,unrelated,30,2765.583333,2562,1482,2666,4354,1530,3363,5415,1946
21,dominant,3,1236.125,986,1138,1210,1042,819,914,986,1098
21,dominant,30,1236.125,2082,1178,1643,1771,707,1851,1060,1661
21,subordinate,3,2301.916667,763,4115,1594,1691,1203,1002,2265,2563
21,subordinate,30,2301.916667,2562,2466,2362,1017,1058,10234,2546,1082
21,unrelated,3,3327.791667,2106,2058,2364,3308,4802,3973,9938,1530
21,unrelated,30,3327.791667,4954,1602,3098,1458,3210,1195,1379,1994
22,dominant,3,1886.125,1658,1042,1426,1482,1011,1685,1659,1226
22,dominant,30,1886.125,1834,994,890,1538,1083,1931,3722,4158
22,subordinate,3,2067.291667,1610,2450,2618,2667,2290,2690,1786,1138
22,subordinate,30,2067.291667,1290,1170,2410,1378,1458,1634,1442,5745
22,unrelated,3,2771.083333,3346,3066,3354,3418,1838,1499,1691,2298
22,unrelated,30,2771.083333,1170,1074,1674,3187,3314,2947,8266,4402
23,dominant,3,1122,890,947,1427,817,924,674,772,761
23,dominant,30,1122,875,618,954,595,786,1129,5453,1353
23,subordinate,3,1032.375,675,617,1001,1427,1122,937,1138,1234
23,subordinate,30,1032.375,802,1082,1266,858,978,658,770,1746
23,unrelated,3,1609.166667,1667,987,2115,985,1539,1458,1947,3931
23,unrelated,30,1609.166667,1241,1501,1188,1498,1722,1483,1138,1001
24,dominant,3,2177.25,6931,1018,1715,1378,1155,858,1010,1698
24,dominant,30,2177.25,978,945,1530,1530,1450,7219,1114,8194
24,subordinate,3,2292.166667,1650,3105,900,1066,810,1786,1098,2970
24,subordinate,30,2292.166667,1835,1331,882,2586,8227,4460,1097,3355
24,unrelated,3,2245.833333,1393,922,3281,1738,1355,3210,1122,3129
24,unrelated,30,2245.833333,1258,1178,1571,2531,2082,1147,3202,2365
26,dominant,3,1382.708333,1634,1538,1185,1250,1131,1578,985,978
26,dominant,30,1382.708333,1258,1210,1042,986,922,2610,769,1234
26,subordinate,3,1460.625,1371,763,3066,1818,1186,1139,2018,2597
26,subordinate,30,1460.625,899,1699,1011,2074,1074,1339,31,858
26,unrelated,3,2140.833333,2914,1635,2910,1107,3105,1578,2250,4593
26,unrelated,30,2140.833333,1786,1594,1619,1762,2753,1418,1818,1834
27,dominant,3,1056.833333,1170,1121,801,675,660,1185,771,2074
