PID,BIAS,REPS,Elapsed,MS
1,dominant,0,,618
1,dominant,0,,730
1,dominant,0,,753
1,dominant,0,,753
1,dominant,0,,818
1,dominant,0,,875
1,dominant,0,,922
1,dominant,0,,954
1,dominant,3,4.088055556,730
1,dominant,3,2.874722222,737
1,dominant,3,4.472777778,850
1,dominant,3,5.043333333,866
1,dominant,3,1.227777778,978
1,dominant,3,2.306666667,1002
1,dominant,3,2.498611111,1003
1,dominant,3,2.872777778,1386
1,dominant,30,2.687777778,595
1,dominant,30,2.148333333,770
1,dominant,30,3.7525,834
1,dominant,30,2.191388889,890
1,dominant,30,2.1,939
1,dominant,30,2.688888889,987
1,dominant,30,1.674166667,1131
1,dominant,30,4.806666667,1186
1,fillerREL,0,,690
1,fillerREL,0,,778
1,fillerREL,0,,858
1,fillerREL,0,,882
1,fillerREL,0,,961
1,fillerREL,0,,1010
1,fillerREL,0,,1098
1,fillerREL,0,,1355
1,fillerREL,0,,1355
1,fillerREL,0,,1379
1,fillerREL,0,,1826
1,fillerREL,0,,2882
1,fillerREL,3,3.050277778,634
1,fillerREL,3,2.808611111,707
1,fillerREL,3,4.38,858
1,fillerREL,3,4.395833333,866
1,fillerREL,3,3.249722222,931
1,fillerREL,3,3.815555556,970
1,fillerREL,3,1.119166667,1001
1,fillerREL,3,4.078611111,1241
1,fillerREL,3,6.190833333,1274
1,fillerREL,3,4.533611111,1322
1,fillerREL,3,4.094722222,1602
1,fillerREL,3,4.851666667,1754
1,fillerREL,30,1.895277778,691
1,fillerREL,30,6.238333333,786
1,fillerREL,30,3.068888889,850
1,fillerREL,30,4.538333333,923
1,fillerREL,30,3.502777778,930
1,fillerREL,30,5.831388889,987
1,fillerREL,30,4.799166667,1042
1,fillerREL,30,2.246666667,1050
1,fillerREL,30,5.568333333,1118
1,fillerREL,30,1.368888889,1378
1,fillerREL,30,4.350833333,1426
1,fillerREL,30,6.205555556,2426
1,fillerUNREL,0,,979
1,fillerUNREL,0,,993
1,fillerUNREL,0,,1058
1,fillerUNREL,0,,1146
1,fillerUNREL,0,,1202
1,fillerUNREL,0,,1298
1,fillerUNREL,0,,1346
1,fillerUNREL,0,,1418
1,fillerUNREL,0,,1545
1,fillerUNREL,0,,1650
1,fillerUNREL,0,,2106
1,fillerUNREL,0,,2170
1,fillerUNREL,3,1.026388889,898
1,fillerUNREL,3,1.98,923
1,fillerUNREL,3,4.340555556,929
1,fillerUNREL,3,1.465,1009
1,fillerUNREL,3,4.521111111,1129
1,fillerUNREL,3,5.406111111,1131
1,fillerUNREL,3,2.035,1251
1,fillerUNREL,3,4.913611111,1355
1,fillerUNREL,3,4.199444444,1362
1,fillerUNREL,3,3.731944444,1498
1,fillerUNREL,3,5.759166667,1739
1,fillerUNREL,3,2.949166667,2258
1,fillerUNREL,30,5.714722222,875
1,fillerUNREL,30,2.844166667,994
1,fillerUNREL,30,4.176111111,1090
1,fillerUNREL,30,3.566388889,1097
1,fillerUNREL,30,4.247222222,1307
1,fillerUNREL,30,4.859444444,1370
1,fillerUNREL,30,5.268055556,1515
1,fillerUNREL,30,3.974722222,1762
1,fillerUNREL,30,2.519166667,1812
1,fillerUNREL,30,4.871111111,1858
1,fillerUNREL,30,5.659444444,2430
1,fillerUNREL,30,6.0925,2434
1,subordinate,0,,674
1,subordinate,0,,858
1,subordinate,0,,882
1,subordinate,0,,931
1,subordinate,0,,1107
1,subordinate,0,,1171
1,subordinate,0,,1339
1,subordinate,0,,1490
1,subordinate,3,3.0975,674
1,subordinate,3,3.163611111,801
1,subordinate,3,4.669722222,914
1,subordinate,3,4.093611111,947
1,subordinate,3,6.186388889,1115
1,subordinate,3,3.985555556,1546
1,subordinate,3,5.657777778,1796
1,subordinate,3,5.119722222,2189
1,subordinate,30,1.701666667,770
1,subordinate,30,3.6425,896
1,subordinate,30,2.406111111,923
1,subordinate,30,1.764444444,938
1,subordinate,30,5.119444444,986
1,subordinate,30,3.065833333,1146
1,subordinate,30,3.895277778,1291
1,subordinate,30,3.240555556,1626
1,unrelated,0,,1025
1,unrelated,0,,1026
1,unrelated,0,,1291
1,unrelated,0,,1347
1,unrelated,0,,1363
1,unrelated,0,,1369
1,unrelated,0,,2911
1,unrelated,0,,6604
1,unrelated,3,3.114166667,882
1,unrelated,3,1.206388889,947
1,unrelated,3,1.321111111,1019
1,unrelated,3,2.862777778,1091
1,unrelated,3,2.255833333,1138
1,unrelated,3,3.276666667,1378
1,unrelated,3,4.909722222,2052
1,unrelated,3,5.000555556,3147
1,unrelated,30,2.891388889,906
1,unrelated,30,6.089444444,1163
1,unrelated,30,4.512222222,1378
1,unrelated,30,5.258333333,1979
1,unrelated,30,3.910277778,2010
1,unrelated,30,5.388333333,2217
1,unrelated,30,4.519166667,2770
1,unrelated,30,3.263055556,4202
2,dominant,0,,676
2,dominant,0,,762
2,dominant,0,,763
2,dominant,0,,875
2,dominant,0,,1002
2,dominant,0,,1099
2,dominant,0,,1356
2,dominant,0,,1357
2,dominant,3,1.083611111,644
2,dominant,3,1.435833333,803
2,dominant,3,0.893611111,827
2,dominant,3,0.701388889,843
2,dominant,3,1.288055556,891
2,dominant,3,0.662222222,1093
2,dominant,3,1.123611111,1139
2,dominant,3,0.762777778,1459
2,dominant,30,1.211111111,667
2,dominant,30,0.871111111,714
2,dominant,30,0.773611111,851
2,dominant,30,1.175833333,1107
2,dominant,30,1.102777778,1107
2,dominant,30,0.734722222,1317
2,dominant,30,0.9175,1700
2,dominant,30,1.589166667,1891
2,fillerREL,0,,548
2,fillerREL,0,,691
2,fillerREL,0,,770
2,fillerREL,0,,772
2,fillerREL,0,,1011
2,fillerREL,0,,1092
2,fillerREL,0,,1107
2,fillerREL,0,,1171
2,fillerREL,0,,1475
2,fillerREL,0,,1563
2,fillerREL,0,,3596
2,fillerREL,0,,4358
2,fillerREL,3,1.429444444,652
2,fillerREL,3,0.960555556,780
2,fillerREL,3,0.668611111,835
2,fillerREL,3,0.706111111,859
2,fillerREL,3,1.141666667,900
2,fillerREL,3,0.916944444,915
2,fillerREL,3,1.4425,995
2,fillerREL,3,0.723333333,1075
2,fillerREL,3,1.164444444,1180
