PID,BIAS,REPS,HomType,Position,CUE,POS.SHOWN,DOMREL,SUBREL,UNREL,BIAS,LEN,LgFreq,ANSWER,MS,MS.3.STDEV,MS.IQR,,PID,MEAN,STDEV,MIN,MAX,MEDIAN,IQR,Min,Max,Total
1,dominant,long,NN,23,POOL,,POOL -- SWIM,POOL -- BILLIARDS,POOL -- CURFEW,0.810055866,4,2.371,M,681,41,2699,,1,1741.794872,1199.120165,200,5339.155367,1489,708.25,426.625,2551.375,156
1,dominant,long,NV,37,TRAIN,N,TRAIN -- RAILROAD,TRAIN -- TEACH,TRAIN -- REALITY,0.84,5,3.19,M,945,56,1336,,2,5257.916129,4270.942323,200,18070.7431,3751,3205.5,200,8559.25,155
1,dominant,long,NV,20,HAND,N,HAND -- GLOVE,HAND -- GIVE,HAND -- NONE,0.848484848,4,3.751,M,1026,61,872,,3,3482.185897,2071.981236,200,9698.129606,2744,2045,200,5811.5,156
1,dominant,long,NN,73,LOG,,LOG -- CABIN,LOG -- JOURNAL,LOG -- WAITER,0.854545455,3,2.83,M,1171,70,926,,4,3327.301282,3110.057208,200,12657.47291,2075.5,2090,200,5210.5,156
1,dominant,long,NN,7,PIT,,PIT -- HOLE,PIT -- CHERRY,PIT -- CRASH,0.549295775,3,3.16,M,1219,73,,,5,2314.673077,880.6451752,200,4956.608603,2127,728,1035,3219,156
1,dominant,long,NN,49,PUPIL,,PUPIL -- STUDENT,PUPIL -- EYE,PUPIL -- FIELD,0.785714286,5,3.55,M,1219,73,1932,,6,2705.089744,1270.861731,200,6517.674938,2353.5,1187.75,571.875,4135.125,156
1,dominant,long,NV,74,GROOM,N,GROOM -- BRIDE,GROOM -- COMB,GROOM -- DIME,0.657608696,5,2.79,M,1219,73,1552,,7,1046.525641,405.1699675,200,2262.035544,954,447.75,282.375,1625.625,156
1,dominant,long,NV,98,SCALE,N,SCALE -- WEIGH,SCALE -- CLIMB,SCALE -- THUMB,0.803030303,5,2.78,M,1219,73,2737,,8,4739.403846,4666.741403,200,18739.62806,3335.5,3099.75,200,7985.125,156
1,dominant,long,NN,8,POKER,,POKER -- CHIPS,POKER -- FIRE,POKER -- GLASS,0.882758621,5,3.49,M,1314,79,2070,,9,4905.075862,3835.593088,200,16411.85513,3468,3928,200,9360,145
1,dominant,long,NN,45,YARD,,YARD -- FENCE,YARD -- MILE,YARD -- SLAVE,0.637795276,4,2.97,M,1346,80,3563,,10,1262.391026,534.3618633,200,2865.476616,1191,516.75,415.875,1966.125,156
1,dominant,long,NV,140,VACUUM,V,VACUUM -- CLEAN,VACUUM -- SPACE,VACUUM -- HORSE,0.958333333,6,3.66,M,1627,97,2505,,11,1031.166667,381.499957,200,2175.666538,943,341.25,431.125,1454.875,156
1,dominant,long,NV,105,PUNCH,V,PUNCH -- FIGHT,PUNCH -- DRINK,PUNCH -- CLOSE,0.79,5,4.049,M,1668,100,1630,,12,1223.314103,381.4346738,200,2367.618124,1194,481.5,471.75,1916.25,156
1,dominant,long,NN,108,DEGREE,,DEGREE -- COLLEGE,DEGREE -- TEMPERATURE,DEGREE -- FORGOTTEN,0.465753425,6,3.25,M,1858,111,,,13,2074.608974,1304.449134,200,5987.956376,1623,1347.25,200,3643.875,156
1,dominant,long,NV,38,FLY,N,FLY -- BUG,FLY -- AIRPLANE,FLY -- FROZEN,0.604060914,3,2.89,M,2250,135,710,,14,1021.320513,369.8247011,200,2130.794616,907.5,366,358.5,1456.5,156
1,dominant,long,NN,139,BATTERY,,BATTERY -- ACID,BATTERY -- ASSAULT,BATTERLY -- STABLE,0.746753247,7,2.83,C,2442,147,5234,,15,3396.583333,2686.515899,200,11456.13103,2688.5,2328.75,200,6181.625,156
1,dominant,long,NV,122,COAST,N,COAST -- SHORE,COAST -- GLIDE,COAST -- FEAST,0.72,5,2.54,M,8234,494,1179,,16,884.5769231,305.6491566,200,1801.524393,842,261,450.5,1233.5,156
1,dominant,short,NV,48,DART,N,DART -- THROW,DART -- SPRINT,DART -- PORCH,0.736486486,4,2.692,M,686,41,2423,,17,2308.25641,1330.347274,200,6299.298232,2074.5,1306,200,4033.5,156
1,dominant,short,NN,70,JOINT,,JOINT -- ELBOW,JOINT -- MARIJUANA,JOINT -- PAJAMAS,0.317241379,5,2.47,M,727,43,1850,,18,1158.75,540.4674754,200,2780.152426,982,407,371.5,1592.5,156
1,dominant,short,NN,131,LETTER,,LETTER -- MAIL,LETTER -- ALPHABET,LETTER -- PLANTS,0.783783784,6,2.69,M,750,45,1054,,19,1275.75,543.8238285,200,2907.221486,1123.5,499.5,374.25,1872.75,156
1,dominant,short,NV,6,BOIL,V,BOIL -- WATER,BOIL -- PIMPLE,BOIL -- DETAIL,1,4,3,M,837,51,4113,,20,2795.839744,2061.433665,200,8980.140738,2225,1861.75,200,5017.625,156
1,dominant,short,NN,11,KID,,KID - CHILD,KID -- GOAT,KID -- STONE,0.817567568,3,3.32,M,909,55,978,,21,2130.205128,772.168866,200,4446.711726,1974.5,735.75,870.875,3078.125,156
1,dominant,short,NN,121,FAN,,FAN -- AIR,FAN -- SPORTS,FAN -- BEAR,0.797297297,3,3.467,M,974,58,1198,,22,1564.820513,773.5944464,200,3885.603852,1342,898.75,200,2690.125,156
1,dominant,short,NV,111,LOAF,N,LOAF -- BREAD,LOAF -- LAZY,LOAF -- ROLE,0.612068966,4,2.969,M,982,59,2606,,23,1180.435897,384.7145096,200,2334.579426,1128,418,501,1755,156
1,dominant,short,NN,83,SENTENCE,,SENTENCE -- PARAGRAPH,SENTENCE -- JUDGMENT,SENTENCE -- POSSESSED,0.647887324,8,2.53,M,1398,84,1727,,24,1639.961538,977.7456552,200,4573.198504,1393,598.5,495.25,2290.75,156
1,dominant,short,NV,60,COUNTER,N,COUNTER -- KITCHEN,COUNTER -- OPPOSE,COUNTER -- SHRINK,0.758169935,7,2.762,M,1429,86,1605,,25,1867.474359,982.3099271,200,4814.40414,1632,1033,200,3181.5,156
1,dominant,short,NV,117,BAR ,N,BAR -- BEER,BAR -- FORBID,BAR -- SWING,0.834482759,4,3.12,M,1471,89,2004,,26,5160.758929,4285.563386,200,18017.44909,3885,4035.5,200,9938.25,112
1,dominant,short,NV,104,QUIVER,V,QUIVER -- TREMBLE,QUIVER -- ARROW,QUIVER -- SPLASH,0.717391304,6,2.33,M,1534,92,1187,,27,1423.570513,1044.386081,200,4556.728755,1235,899.25,200,2583.875,156
1,dominant,short,NV,71,PEER,N,PEER -- FRIEND,PEER -- LOOK,PEER -- NIGHT,0.649350649,4,4.65,M,1766,106,3358,,28,2448.314103,1518.553925,200,7003.975878,2022.5,984,546.5,3498.5,156
1,dominant,short,NN,134,CRUST,,CRUST -- PIE,CRUST -- EARTH,CRUST -- DOGS,0.932432432,5,3.432,M,2063,124,2609,,29,3686.192308,2590.053762,200,11456.35359,2722.5,3185.5,200,7500.75,156
1,dominant,short,NN,66,YARN,,YARN -- WOOL,YARN -- STORY,YARN -- PILOT ,0.850393701,4,3.13,M,2455,147,2339,,30,1613.583333,836.8979508,200,4124.277186,1433,827,200,2673.5,156
1,dominant,short,NV,107,SOCK,N,SOCK -- SHOE,SOCK -- HIT,SOCK -- TEN,0.866666,4,3.869,M,3049,183,3443,,31,1531.275641,720.2976945,200,3692.168725,1383.5,859.5,200,2672.75,156
1,dominant,short,NN,126,TRUNK,,TRUNK -- CAR,TRUNK -- ELEPHANT,TRUNK -- GROUND,0.585034014,5,3.57,M,3718,224,838,,32,3551.798658,3508.868282,200,14078.4035,2864,2453,200,6543.5,149
1,RELATED FILLER,long,,29,ASTRONOMY,,ASTRONOMY -- STAR,,,,,,M,793,48,1757,,33,1187.442308,539.9673973,200,2807.3445,1103.5,475,391,1816,156
1,RELATED FILLER,long,,123,CAVITY,,CAVITY -- TOOTH,,,,,,M,859,51,3782,,34,1074.673077,480.1064017,200,2514.992282,963.5,346,444.5,1482.5,156
1,RELATED FILLER,long,,62,FOREST,,FOREST -- TREE,,,,,,M,913,55,583,,35,2493.121795,1284.893676,200,6347.802824,2085.5,1544.25,200,4401.875,156
1,RELATED FILLER,long,,90,FORGIVE,,FORGIVE -- FORGET,,,,,,M,1089,65,1399,,36,3385.738255,2325.626479,200,10362.61769,2725,2263,200,6119.5,149
1,RELATED FILLER,long,,130,JOURNEY,,JOURNEY -- TRIP,,,,,,M,1476,88,1126,,37,1309.096154,652.7605576,200,3267.377827,1147.5,644.75,200,2114.625,156
1,RELATED FILLER,long,,132,FLESH,,FLESH -- SKIN,,,,,,M,1507,90,2735,,38,2148.833333,970.1310043,200,5059.226346,1928,1051.5,350.75,3505.25,156
1,RELATED FILLER,long,,143,FEATHERS,,FEATHERS -- BIRD,,,,,,M,1555,93,,,39,2702.801282,1521.196123,200,7266.389651,2505.5,1419.25,376.625,4634.375,156
1,RELATED FILLER,long,,156,DISLIKE,,DISLIKE -- HATE,,,,,,M,1817,109,3049,,40,2110.929487,988.5648908,200,5076.62416,1800.5,1051.5,223.25,3377.75,156
1,RELATED FILLER,short,,44,UNHAPPY,,UNHAPPY -- SAD,,,,,,M,718,43,4149,,41,1961.019231,1368.337727,200,6066.032412,1642,1010.5,200,3157.75,156
1,RELATED FILLER,short,,34,PASTURE,,PASTURE -- GRAZE,,,,,,M,878,53,7427,,42,4671.285714,3637.344316,200,15583.31866,3326,3733,200,8925.5,42
1,RELATED FILLER,short,,40,MINTS,,MINTS -- CANDY,,,,,,M,1596,96,1595,,43,2526.487179,2442.292911,200,9853.365913,1836.5,1575.75,200,4200.125,156
1,RELATED FILLER,short,,10,BOULDER,,BOULDER -- ROCK,,,,,,M,2037,122,1809,,44,1668.076923,681.23041,200,3711.768153,1661.5,1015,200,3184,156
1,RELATED FILLER,short,,47,GROVE,,GROVE -- ORANGE,,,,,,C,2039,122,2786,,45,1503.673077,703.4684317,200,3614.078372,1406,784,230,2582,156
