PID,BIAS,RELATEDNESS,REPS,POSITION,CUE,DomRel,DomUnrel,SubRel,SubUnrel,ANSWER,MS,TICS,MS.3.STDEV,IQR,,PID,MEAN,STDEV,MIN,MAX,MEDIAN,IQR,Min,Max,CountCorrect
1,dominant,related,long,16,KID,KID -- CHILD,KID -- STATE,KID -- GOAT,KID -- DICE,M,1150.00,69,1150.00,1150,,1,3845.12,2239.63,200.00,10564.00,3356.50,2238.00,200.00,6713.50,87%
1,dominant,related,long,18,DIAMOND,DIAMOND -- GEM,DIAMOND -- RIM,DIAMOND -- BASEBALL,DIAMOND -- UNIVERSE,M,2143.00,129,2143.00,2143,,2,1583.23,878.74,200.00,4219.44,1510.50,687.00,200.00,2541.00,91%
1,dominant,related,long,94,DOUGH,DOUGH -- BREAD,DOUGH -- PLANT,DOUGH -- MONEY,DOUGH -- YEARS,M,2688.00,162,2688.00,2688,,3,2591.47,1944.11,200.00,8423.80,2135.00,1143.75,200.00,3850.63,95%
1,dominant,related,long,98,LETTER,LETTER -- MAIL,LETTER -- LAKE,LETTER -- ALPHABET,LETTER -- SEDATIVE,M,2736.00,164,2736.00,2736,,4,1399.67,1223.25,200.00,5069.43,1170.50,988.75,200.00,2653.63,49%
1,dominant,related,long,80,GRADE,GRADE -- EVALUATION,GRADE -- MICROPHONE,GRADE -- INCLINE,GRADE -- ICICLES,M,3513.00,211,3513.00,3513,,5,1517.49,1052.45,200.00,4674.83,1308.00,645.50,200.00,2276.25,85%
1,dominant,related,long,47,BOLT,BOLT -- SCREW,BOLT -- CROWD,BOLT -- LIGHTNING,BOLT -- TESTIMONY,M,4033.00,242,4033.00,4033,,6,1247.78,536.33,200.00,2856.76,1148.00,528.00,200.00,1940.00,89%
1,dominant,related,long,46,DECK,DECK -- HOUSE,DECK -- WORLD,DECK -- CARDS,DECK -- ENEMY,C,4984.00,299,4984.00,4984,,7,1151.52,321.76,200.00,2116.81,1088.00,353.00,200.00,1617.50,95%
1,dominant,related,long,62,DIGIT,DIGIT -- NUMBER,DIGIT -- DOCTOR,DIGIT -- FINGER,DIGIT -- MARKET,M,5008.00,301,5008.00,5008,,8,1588.12,590.66,200.00,3360.09,1476.50,848.00,200.00,2748.50,92%
1,dominant,related,long,55,BAR,BAR -- ALCOHOL,BAR -- NETWORK,BAR -- JAIL,BAR -- FILM,M,5850.00,351,5850.00,5850,,9,1015.01,286.07,200.00,1873.20,958.00,331.00,200.00,1454.50,93%
1,dominant,related,short,123,BEEF,BEEF -- STEAK,BEEF -- ALLEY,BEEF -- COMPLAINT,BEEF -- PRIVILEGE,M,1476.00,89,1476.00,1476,,10,2014.06,1540.83,200.00,6636.56,1753.00,1435.75,200.00,3906.63,58%
1,dominant,related,short,29,LIMB,LIMB -- ARM,LIMB -- CAT,LIMB -- BRANCH,LIMB -- PISTOL,M,1786.00,107,1786.00,1786,,11,1544.79,530.95,200.00,3137.63,1431.00,701.25,200.00,2482.88,95%
1,dominant,related,short,71,PIT,PIT -- HOLE,PIT -- WINE,PIT -- CHERRY,PIT -- PUPPY,M,2356.00,141,2356.00,2356,,12,1023.63,316.11,200.00,1971.95,963.50,371.75,200.00,1521.13,90%
1,dominant,related,short,7,LOG,LOG -- CABIN,LOG -- RADAR,LOG -- JOURNAL,LOG -- CORONER,M,2512.00,150,2512.00,2512,,13,926.11,311.62,200.00,1860.99,855.50,256.75,200.00,1240.63,89%
1,dominant,related,short,54,CRUST,CRUST -- PIE,CRUST -- RAT,CRUST -- EARTH,CRUST -- HOTEL,M,2947.00,176,2947.00,2947,,14,1573.04,770.28,200.00,3883.88,1399.00,839.00,200.00,2657.50,82%
1,dominant,related,short,31,PITCH,PITCH -- CATCH,PITCH -- HUMAN,PITCH -- TONE,PITCH -- FUEL,M,4410.00,265,4410.00,4410,,15,2037.09,928.46,200.00,4822.48,1787.00,820.00,200.00,3017.00,94%
1,dominant,related,short,63,BILL,BILL -- CHECK,BILL -- WOMAN,BILL -- LAW,BILL -- LIE,M,6549.00,393,6549.00,6549,,16,2926.07,3040.00,200.00,12046.06,1783.00,1424.00,200.00,3919.00,89%
1,dominant,related,short,95,SENTENCE,SENTENCE -- PARAGRAPH,SENTENCE -- MUSHROOMS,SENTENCE -- JUDGMENT,SENTENCE -- QUARTERS,C,7877.00,473,7877.00,,,17,1654.39,726.14,200.00,3832.80,1497.50,667.50,200.00,2498.75,86%
1,dominant,related,short,113,CHEST,CHEST -- BREAST,CHEST -- LADDER,CHEST -- TREASURE,CHEST -- HOMEWORK,M,10188.00,611,10188.00,,,18,1420.71,580.59,200.00,3162.47,1315.00,582.75,200.00,2189.13,94%
1,dominant,unrelated,long,22,GAME,GAME -- FOOTBALL,GAME -- CRIMINAL,GAME -- HUNT,GAME -- WIRE,C,1819.00,109,1819.00,1819,,19,1348.13,407.66,200.00,2571.12,1255.50,438.00,200.00,1912.50,95%
1,dominant,unrelated,long,76,NUT,NUT -- ALMOND,NUT -- STAPLE,NUT -- CRAZY,NUT -- HEART,C,2016.00,121,2016.00,2016,,20,1036.76,362.09,200.00,2123.04,960.00,459.75,200.00,1649.63,95%
1,dominant,unrelated,long,119,NAIL,NAIL -- HAMMER,NAIL -- SAILOR,NAIL -- POLISH,NAIL -- KIDNEY,C,2257.00,135,2257.00,2257,,21,2416.79,1724.65,200.00,7590.74,1948.50,1435.00,200.00,4101.00,95%
1,dominant,unrelated,long,20,GREEN,GREEN -- GRASS,GREEN -- FAIRY,GREEN -- GOLF,GREEN -- DATA,C,2989.00,180,2989.00,2989,,22,1988.70,1363.81,200.00,6080.13,1811.00,681.75,200.00,2833.63,91%
1,dominant,unrelated,long,41,CANE,CANE -- ELDERLY,CANE -- GARDENS,CANE -- SUGAR,CANE -- VIDEO,C,2992.00,180,2992.00,2992,,23,2331.30,2279.03,200.00,9168.40,1560.50,1353.00,200.00,3590.00,93%
1,dominant,unrelated,long,66,CABLE,CABLE -- TELEVISION,CABLE -- RESTAURANT,CABLE -- CORD,CABLE -- MULE,C,3352.00,202,3352.00,3352,,24,1681.05,834.39,200.00,4184.21,1451.00,855.75,200.00,2734.63,91%
1,dominant,unrelated,long,50,GRAIN,GRAIN -- WHEAT,GRAIN -- DISCO,GRAIN -- SAND,GRAIN -- PUNK,C,3592.00,215,3592.00,3592,,25,1576.66,600.53,200.00,3378.24,1505.50,604.00,200.00,2411.50,95%
1,dominant,unrelated,long,67,BEAM,BEAM -- LIGHT,BEAM -- ORDER,BEAM -- BALANCE,BEAM -- WHISTLE,C,3991.00,239,3991.00,3991,,26,2007.60,1027.80,200.00,5091.01,1903.50,1223.00,200.00,3738.00,95%
1,dominant,unrelated,long,40,TEMPLE,TEMPLE -- CHURCH,TEMPLE -- GROUND,TEMPLE -- FOREHEAD,TEMPLE -- UNIFORM,C,4528.00,272,4528.00,4528,,27,1720.48,752.36,200.00,3977.57,1471.00,894.00,200.00,2812.00,92%
1,dominant,unrelated,short,114,CRICKET,CRICKET -- INSECT,CRICKET -- LOTION,CRICKET -- SPORT,CRICKET -- SHORE,C,2181.00,131,2181.00,2181,,28,1598.76,1021.96,200.00,4664.65,1330.50,717.50,200.00,2406.75,93%
1,dominant,unrelated,short,27,KEY,KEY -- LOCK,KEY -- AUNT,KEY -- PIANO,KEY -- PILLS,C,2233.00,134,2233.00,2233,,29,3165.27,2125.03,200.00,9540.35,2613.50,1788.75,200.00,5296.63,92%
1,dominant,unrelated,short,28,SHOCK,SHOCK -- SURPRISE,SHOCK -- UPSTAIRS,SHOCK -- STATIC,SHOCK -- RIBBON,C,2282.00,137,2282.00,2282,,30,1803.21,644.09,200.00,3735.49,1689.50,713.00,200.00,2759.00,82%
1,dominant,unrelated,short,82,POKER,POKER -- CHIPS,POKER -- SALAD,POKER -- FIRE,POKER -- DEAR,C,2420.00,146,2420.00,2420,,31,1471.49,730.57,200.00,3663.20,1297.50,689.75,200.00,2332.13,89%
1,dominant,unrelated,short,110,NET,NET -- SOCCER,NET -- EMPIRE,NET -- PROFIT,NET -- RHYTHM,C,3348.00,201,3348.00,3348,,32,2787.67,3175.06,200.00,12312.84,1660.50,1370.50,200.00,3716.25,89%
1,dominant,unrelated,short,44,NOTE,NOTE -- MEMO,NOTE -- MICE,NOTE -- MUSIC,NOTE -- DREAM,C,3476.00,208,3476.00,3476,,33,1621.81,792.28,200.00,3998.65,1489.00,622.75,200.00,2423.13,93%
1,dominant,unrelated,short,42,MASS,MASS -- WEIGHT,MASS -- DOLLAR,MASS -- CHURCH,MASS -- PRISON,C,3508.00,211,3508.00,3508,,34,1243.63,391.99,200.00,2419.59,1149.00,499.00,200.00,1897.50,97%
1,dominant,unrelated,short,26,IRON,IRON -- METAL,IRON -- DRAMA,IRON -- CLOTHES,IRON -- MISTAKE,C,3538.00,212,3538.00,3538,,35,2051.94,1768.22,200.00,7356.61,1325.00,1494.75,200.00,3567.13,90%
1,dominant,unrelated,short,15,PUPIL,PUPIL -- STUDENT,PUPIL -- OPINION,PUPIL -- EYE,PUPIL -- BAG,C,11419.00,686,,,,36,1382.81,638.40,200.00,3298.01,1313.50,520.25,200.00,2093.88,88%
1,filler,related,long,45,SHORE,SHORE -- BEACH,,,,M,935.00,56,935.00,935,,37,1861.54,653.23,200.00,3821.24,1738.00,745.50,200.00,2856.25,92%
