PID,BIAS,REPS,T0,T1,T2,T3,T4,T5,T6,T7,T8,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,PID,MEAN,STDEV
1,dominant,3,887.7916667,978,1002,1003,1386,737,730,850,866,-0.56536299,-0.439754704,-0.406336518,-0.404944094,0.128354457,-0.775328988,-0.785075959,-0.617985029,-0.595706239,1,1293.819444,718.1718373
1,dominant,30,887.7916667,1131,939,770,890,595,987,834,1186,-0.56536299,-0.226713769,-0.494059257,-0.729378983,-0.562288053,-0.973053255,-0.427222885,-0.64026382,-0.150130426,2,1466.458333,730.0186773
1,subordinate,3,1125.416667,674,801,1546,947,914,2189,1796,1115,-0.234488138,-0.863051726,-0.686213826,0.351142363,-0.482919861,-0.528869867,1.246471261,0.699248467,-0.24899256,3,1761.340278,862.2079803
1,subordinate,30,1125.416667,770,938,923,1146,1626,896,1291,986,-0.234488138,-0.729378983,-0.495451681,-0.516338047,-0.205827403,0.462536316,-0.553933506,-0.003925863,-0.428615309,4,1392.6875,638.5154277
1,unrelated,3,1883.958333,947,1019,1138,1091,882,1378,2052,3147,0.821723797,-0.482919861,-0.382665303,-0.216966798,-0.282410746,-0.573427448,0.117215061,1.055709117,2.58041385,5,1070.854167,472.5507329
1,unrelated,30,1883.958333,906,4202,2010,1378,2770,1979,2217,1163,0.821723797,-0.540009262,4.049421608,0.997227291,0.117215061,2.055469846,0.954062134,1.285459145,-0.182156188,6,1320.763889,772.8320518
2,dominant,3,1039.291667,1093,843,1459,827,644,1139,891,803,-0.585144845,-0.511573669,-0.85403066,-0.010216633,-0.875947908,-1.126626426,-0.448561582,-0.788278918,-0.908823779,7,251.6041667,305.029467
2,dominant,30,1039.291667,1317,851,714,1700,1107,1107,667,1891,-0.585144845,-0.204732204,-0.843072037,-1.030738468,0.319911907,-0.492396077,-0.492396077,-1.095120382,0.581549048,8,1453.756944,851.0606965
2,subordinate,3,1149.458333,579,939,915,891,932,1300,1291,1284,-0.434235465,-1.215665243,-0.722527176,-0.755403047,-0.788278918,-0.732115971,-0.22801928,-0.240347731,-0.249936527,9,1819.826389,983.1502623
2,subordinate,30,1149.458333,899,723,1859,1003,1771,2171,845,1027,-0.434235465,-0.777320294,-1.018410016,0.537714553,-0.634858186,0.417169692,0.965100879,-0.851291004,-0.601982315,10,1846.631944,1661.325244
2,unrelated,3,2021.625,4342,1532,1691,1684,1299,1964,2642,2443,0.760482826,3.938997393,0.089780808,0.307583455,0.297994659,-0.229389108,0.68154649,1.610289851,1.337694086,11,929.9583333,337.8634664
2,unrelated,30,2021.625,2300,1274,2691,2075,2123,1371,1803,2715,0.760482826,1.141808686,-0.263634807,1.677411421,0.833597394,0.899349136,-0.130761494,0.461004187,1.710287292,12,1232.590278,495.9260406
3,dominant,3,1471.375,1171,858,1010,2787,1147,1036,4012,1003,-0.336305491,-0.684684312,-1.047705772,-0.871414201,1.18957345,-0.712519824,-0.841259063,2.610344341,-0.879532892,14,1371.277778,716.7941909
3,dominant,30,1471.375,2842,786,1050,1394,1460,946,1179,1680,-0.336305491,1.253363164,-1.131212306,-0.825021682,-0.42604602,-0.349498363,-0.945642231,-0.675405808,-0.09433951,15,1817.451389,872.2837483
3,subordinate,3,1703.958333,1844,1387,1033,1900,3227,1299,1553,1771,-0.066552324,0.095869818,-0.43416471,-0.844738502,0.160819344,1.699891158,-0.536228252,-0.241635757,0.011203471,16,1648.923611,1062.431677
3,subordinate,30,1703.958333,1666,3292,868,963,995,1737,2610,1921,-0.066552324,-0.110576891,1.775279001,-1.036107643,-0.92592541,-0.888811395,-0.02823017,0.984286554,0.185175417,17,2444.243056,1600.908211
3,unrelated,3,2110.166667,2171,1185,1771,4196,4323,3788,900,2066,0.404573371,0.47512866,-0.668446931,0.011203471,2.823749928,2.971046175,2.350546235,-0.998993628,0.353348298,18,1668.791667,733.639687
3,unrelated,30,2110.166667,2284,2444,2474,1435,969,1642,1939,2516,0.404573371,0.606187525,0.791757601,0.82655199,-0.378493688,-0.918966533,-0.138412402,0.20605205,0.875264135,19,1972.625,1097.642901
4,dominant,3,1103.833333,957,1348,868,756,1337,787,842,642,-0.452384006,-0.682344515,-0.069986563,-0.821730341,-0.997137222,-0.087214024,-0.948587103,-0.862449795,-1.17567637,20,1925.865079,1295.562558
4,dominant,30,1103.833333,756,1906,812,3106,1124,1180,964,739,-0.452384006,-0.997137222,0.803915579,-0.909433782,2.683275025,-0.420800326,-0.333096885,-0.671381585,-1.023761481,21,2303.277778,2015.371165
4,subordinate,3,1260.333333,1322,1019,1075,1083,1267,2123,1132,1579,-0.207284212,-0.110706017,-0.585244277,-0.497540836,-0.485011774,-0.196843325,1.143766412,-0.408271263,0.291790131,22,2220.263889,1794.272273
4,subordinate,30,1260.333333,875,1108,1346,859,1613,1138,1050,1155,-0.207284212,-0.810767411,-0.445858452,-0.073118828,-0.835825537,0.345038648,-0.398874466,-0.536694158,-0.372250207,23,1293.659722,714.4828065
4,unrelated,3,1737.416667,1018,1746,2371,1122,1411,1467,3424,994,0.53989168,-0.58681041,0.55333432,1.532167364,-0.423932592,0.028679808,0.116383249,3.181305278,-0.624397599,24,2054.041667,1365.0918
4,unrelated,30,1737.416667,1419,2115,1082,1124,2908,1579,2516,1115,0.53989168,0.041208871,1.131237349,-0.486577906,-0.420800326,2.373180716,0.291790131,1.759256631,-0.434895522,26,1680.416667,798.1486594
5,dominant,3,946.9583333,924,1171,883,1090,610,1148,1059,812,-0.262185254,-0.310769102,0.211926098,-0.397532273,0.040515931,-0.975248021,0.163254075,-0.025085491,-0.547780691,27,1250.770833,542.197368
5,dominant,30,946.9583333,2059,1027,747,627,875,587,1013,954,-0.262185254,2.091089409,-0.092803087,-0.68533206,-0.939273048,-0.414461672,-1.023920044,-0.122429536,-0.247283855,28,1517.770833,541.565764
5,subordinate,3,1063.333333,955,1372,1012,3099,653,635,745,1670,-0.0159154,-0.24516768,0.637277253,-0.124545711,4.291911306,-0.8842525,-0.922343648,-0.689564409,1.267897373,29,1782.833333,991.085362
5,subordinate,30,1063.333333,731,1260,980,610,770,819,651,1106,-0.0159154,-0.719190858,0.400265664,-0.192263308,-0.975248021,-0.636660037,-0.532967467,-0.88848485,0.07437473,30,1351.986111,1001.259612
5,unrelated,3,1173.208333,1428,857,1011,1898,1092,2451,603,1117,0.216599317,0.755783047,-0.45255282,-0.126661886,1.750385251,0.044748281,2.92062997,-0.990061245,0.097652654,31,1592.888889,749.3676716
5,unrelated,30,1173.208333,1579,1339,1123,969,947,841,1052,899,0.216599317,1.075325457,0.567443481,0.110349703,-0.215541232,-0.262097079,-0.486411619,-0.039898715,-0.363673475,32,1795.479167,909.714938
6,dominant,3,1016.166667,1106,714,1402,850,658,891,642,2626,-0.394131197,-0.277892058,-0.785117397,0.105114832,-0.609141259,-0.85757816,-0.556089629,-0.878281235,1.688900076,33,1071.069444,343.3348039
6,dominant,30,1016.166667,762,1146,1635,1154,858,538,762,866,-0.394131197,-0.723008172,-0.22613437,0.406603363,-0.215782832,-0.598789721,-1.012851223,-0.723008172,-0.588438184,34,1299.638889,477.231802
6,subordinate,3,1413.25,1130,947,1146,890,738,1354,1930,1163,0.119671681,-0.246837445,-0.483628866,-0.22613437,-0.557383571,-0.754062785,0.043005606,0.78831631,-0.204137353,35,2384.25,1244.650337
6,subordinate,30,1413.25,770,2626,2018,1170,610,690,762,1055,0.119671681,-0.712656634,1.688900076,0.902183223,-0.195079757,-0.919687385,-0.81617201,-0.723008172,-0.343883109,36,1528.909722,676.3847095
6,unrelated,3,1259.708333,1122,1690,874,1483,1034,1259,1186,826,-0.07900236,-0.257188982,0.477770183,-0.578086646,0.209924149,-0.371055895,-0.079918902,-0.174376682,-0.640195872,38,1846.819444,1214.764846
6,unrelated,30,1259.708333,1747,939,1075,1026,1603,762,3354,811,-0.07900236,0.551524888,-0.493980404,-0.318004266,-0.381407433,0.365197212,-0.723008172,2.630889993,-0.659605004,39,1336.423611,569.795308
8,dominant,3,1111.916667,737,666,1522,827,1764,762,1242,810,-0.401663804,-0.84219251,-0.925617817,0.080185886,-0.73644212,0.364536933,-0.812817402,-0.248815325,-0.756417194,40,1461.520833,764.9107598
8,dominant,30,1111.916667,842,682,2187,874,842,1107,1466,1346,-0.401663804,-0.718817056,-0.906817748,0.861563763,-0.681216917,-0.718817056,-0.407440909,0.014385644,-0.126614875,41,1477.722222,608.2939491
8,subordinate,3,1384,907,675,1234,945,1131,3882,1763,1474,-0.081964711,-0.642441774,-0.915042778,-0.25821536,-0.59779161,-0.379240805,2.853196095,0.363361929,0.023785678,42,1511.972222,1008.537885
8,subordinate,30,1384,746,1578,962,2235,1034,1091,1020,746,-0.081964711,-0.831617471,0.145986128,-0.577816536,0.91796397,-0.493216225,-0.426240978,-0.509666286,-0.831617471,43,1556.847222,1398.582448
8,unrelated,3,1796.958333,2460,1139,1915,1684,1603,1323,1346,3091,0.403263117,1.182339944,-0.369840771,0.541962586,0.270536587,0.175361236,-0.153639975,-0.126614875,1.923767673,44,1418.173611,882.8735934
8,unrelated,30,1796.958333,1683,1090,1427,1954,1018,3906,1706,1027,0.403263117,0.269361582,-0.427415983,-0.031439525,0.587787755,-0.512016294,2.881396199,0.296386682,-0.501441255,45,2035.104167,1000.518162
9,dominant,3,1385.25,1034,946,938,1002,1530,1130,1490,2330,-0.442024384,-0.799294288,-0.888802478,-0.896939586,-0.831842721,-0.294793584,-0.70164899,-0.335479124,0.51891723,46,1623.777778,1518.611855
9,dominant,30,1385.25,1794,2458,1170,690,1962,1515,739,1010,-0.442024384,-0.026269015,0.64911096,-0.66096345,-1.149189938,0.144610256,-0.310050661,-1.099350151,-0.823705613,47,3463.451389,2585.746719
9,subordinate,3,1675.75,2178,3274,2147,1186,1346,690,1243,3235,-0.146545645,0.364312176,1.47909599,0.332780882,-0.644689233,-0.481947071,-1.149189938,-0.586712338,1.439427588,48,2262.409722,1584.166629
9,subordinate,30,1675.75,898,3018,1634,2355,1570,850,1154,2509,-0.146545645,-0.937625126,1.21870853,-0.189011178,0.544345693,-0.254108043,-0.986447775,-0.677237666,0.700985025,49,1180.090278,519.1071974
9,unrelated,3,2286.416667,3338,2202,1458,2106,1346,1170,3539,1546,0.474586944,1.544192856,0.3887235,-0.368027557,0.291078202,-0.481947071,-0.66096345,1.748637698,-0.278519367,50,1768.444444,882.6159393
9,unrelated,30,2286.416667,3403,2755,3194,1178,2050,1346,2210,1290,0.474586944,1.610306859,0.9512011,1.397724909,-0.652826342,0.234118445,-0.481947071,0.396860608,-0.538906828,51,1690.305556,822.0618854
10,dominant,3,1085.291667,1474,970,939,930,731,1267,786,938,-0.458272864,-0.224298009,-0.527670272,-0.546330074,-0.551747436,-0.671531326,-0.348897331,-0.638425226,-0.546932003,52,1289.534722,441.0604279
10,dominant,30,1085.291667,1211,1267,1002,1034,971,1474,826,1274,-0.458272864,-0.382605361,-0.348897331,-0.508408541,-0.48914681,-0.527068343,-0.224298009,-0.614348062,-0.344683828,53,1490.256944,803.300012
10,subordinate,3,1257.375,1522,2458,850,986,1378,970,875,1138,-0.354690899,-0.195405412,0.36800022,-0.599901764,-0.518039407,-0.282083202,-0.527670272,-0.584853536,-0.426546184,54,1430.326389,534.9114156
10,subordinate,30,1257.375,1314,994,1346,1059,859,906,1706,1550,-0.354690899,-0.320606664,-0.513223974,-0.301344933,-0.474098583,-0.594484402,-0.566193734,-0.084650459,-0.178551397,55,1285.840278,565.4994958
10,unrelated,3,2855.666667,1419,4211,2226,15043,1459,1418,1090,2082,0.607367357,-0.257404109,1.423181923,0.22835267,7.943277876,-0.233326945,-0.258006038,-0.455438781,0.141674881,56,1041.777778,758.6509545
