PID,BIAS,REPS,HomType,Position,CUE,POS.SHOWN,DOMREL,SUBREL,UNREL,BIAS,LEN,LgFreq,ANSWER,MS,MS.3.STDEV,MS.IQR,,PID,MEAN,STDEV,MIN,MAX,MEDIAN,IQR,Min,Max,Total
1,dominant,long,NN,23,POOL,,POOL -- SWIM,POOL -- BILLIARDS,POOL -- CURFEW,0.810055866,4,2.371,M,681,681,681,,1,1741.794872,1199.120165,200,5339.155367,1489,708.25,426.625,2551.375,156
1,dominant,long,NV,37,TRAIN,N,TRAIN -- RAILROAD,TRAIN -- TEACH,TRAIN -- REALITY,0.84,5,3.19,M,945,945,945,,2,5257.916129,4270.942323,200,18070.7431,3751,3205.5,200,8559.25,155
1,dominant,long,NV,20,HAND,N,HAND -- GLOVE,HAND -- GIVE,HAND -- NONE,0.848484848,4,3.751,M,1026,1026,1026,,3,3482.185897,2071.981236,200,9698.129606,2744,2045,200,5811.5,156
1,dominant,long,NN,73,LOG,,LOG -- CABIN,LOG -- JOURNAL,LOG -- WAITER,0.854545455,3,2.83,M,1171,1171,1171,,4,3327.301282,3110.057208,200,12657.47291,2075.5,2090,200,5210.5,156
1,dominant,long,NN,7,PIT,,PIT -- HOLE,PIT -- CHERRY,PIT -- CRASH,0.549295775,3,3.16,M,1219,1219,1219,,5,2314.673077,880.6451752,200,4956.608603,2127,728,1035,3219,156
1,dominant,long,NN,49,PUPIL,,PUPIL -- STUDENT,PUPIL -- EYE,PUPIL -- FIELD,0.785714286,5,3.55,M,1219,1219,1219,,6,2705.089744,1270.861731,200,6517.674938,2353.5,1187.75,571.875,4135.125,156
1,dominant,long,NV,74,GROOM,N,GROOM -- BRIDE,GROOM -- COMB,GROOM -- DIME,0.657608696,5,2.79,M,1219,1219,1219,,7,1046.525641,405.1699675,200,2262.035544,954,447.75,282.375,1625.625,156
1,dominant,long,NV,98,SCALE,N,SCALE -- WEIGH,SCALE -- CLIMB,SCALE -- THUMB,0.803030303,5,2.78,M,1219,1219,1219,,8,4739.403846,4666.741403,200,18739.62806,3335.5,3099.75,200,7985.125,156
1,dominant,long,NN,8,POKER,,POKER -- CHIPS,POKER -- FIRE,POKER -- GLASS,0.882758621,5,3.49,M,1314,1314,1314,,9,4905.075862,3835.593088,200,16411.85513,3468,3928,200,9360,145
1,dominant,long,NN,45,YARD,,YARD -- FENCE,YARD -- MILE,YARD -- SLAVE,0.637795276,4,2.97,M,1346,1346,1346,,10,1262.391026,534.3618633,200,2865.476616,1191,516.75,415.875,1966.125,156
1,dominant,long,NV,140,VACUUM,V,VACUUM -- CLEAN,VACUUM -- SPACE,VACUUM -- HORSE,0.958333333,6,3.66,M,1627,1627,1627,,11,1031.166667,381.499957,200,2175.666538,943,341.25,431.125,1454.875,156
1,dominant,long,NV,105,PUNCH,V,PUNCH -- FIGHT,PUNCH -- DRINK,PUNCH -- CLOSE,0.79,5,4.049,M,1668,1668,1668,,12,1223.314103,381.4346738,200,2367.618124,1194,481.5,471.75,1916.25,156
1,dominant,long,NN,108,DEGREE,,DEGREE -- COLLEGE,DEGREE -- TEMPERATURE,DEGREE -- FORGOTTEN,0.465753425,6,3.25,M,1858,1858,1858,,13,2074.608974,1304.449134,200,5987.956376,1623,1347.25,200,3643.875,156
1,dominant,long,NV,38,FLY,N,FLY -- BUG,FLY -- AIRPLANE,FLY -- FROZEN,0.604060914,3,2.89,M,2250,2250,2250,,14,1021.320513,369.8247011,200,2130.794616,907.5,366,358.5,1456.5,156
1,dominant,long,NN,139,BATTERY,,BATTERY -- ACID,BATTERY -- ASSAULT,BATTERLY -- STABLE,0.746753247,7,2.83,C,2442,2442,2442,,15,3396.583333,2686.515899,200,11456.13103,2688.5,2328.75,200,6181.625,156
1,dominant,long,NV,122,COAST,N,COAST -- SHORE,COAST -- GLIDE,COAST -- FEAST,0.72,5,2.54,M,8234,,,,16,884.5769231,305.6491566,200,1801.524393,842,261,450.5,1233.5,156
1,dominant,short,NV,48,DART,N,DART -- THROW,DART -- SPRINT,DART -- PORCH,0.736486486,4,2.692,M,686,686,686,,17,2308.25641,1330.347274,200,6299.298232,2074.5,1306,200,4033.5,156
