Article,Year,Experiment,Source,Coded.Source,Type,DF,SS,MSE,F/t,Partial.Eta,n.e,m.e,s.e,n.c,m.c,s.c
Cohene,1978,1,Relatedness,P,Within,1,,,3.95,0.31,,,,,,
Cohene,1978,1,Repetitions,Q,Within,1,,,3.95,0.31,9,473,27,9,452,18
Cohene,1978,1,Rel.Reps,PQ,Within,,,,,,,,,,,
Cohene,1978,1,Subjects,s,Residual,9,,,NA,NA,,,,,,
Cohene,1978,1,Rel.Subj,Ps,Residual,9,,,NA,NA,,,,,,
Cohene,1978,1,Reps.Subj,Qs,Residual,,,,NA,NA,,,,,,
Cohene,1978,1,Rel.Reps.Subj,PQs,Residual,,,,NA,NA,,,,,,
Cohene,1978,2,Relatedness,P,Within,1,,,,,,,,,,
Cohene,1978,2,Repetitions,Q,Within,,,,,,,,,,,
Cohene,1978,2,Rel.Reps,PQ,Within,,,,,,,,,,,
Cohene,1978,2,Subjects,s,Residual,4,,,NA,NA,,,,,,
Cohene,1978,2,Rel.Subj,Ps,Residual,4,,,NA,NA,,,,,,
Cohene,1978,2,Reps.Subj,Qs,Residual,,,,NA,NA,,,,,,
Cohene,1978,2,Rel.Reps.Subj,PQs,Residual,,,,NA,NA,,,,,,
Cohene,1978,3,Relatedness,P,Within,1,,,,,,,,,,
Cohene,1978,3,Repetitions,Q,Within,15,,,,,,,,,,
Cohene,1978,3,Rel.Reps,PQ,Within,,,,,,,,,,,
Cohene,1978,3,Subjects,s,Residual,19,,,NA,NA,,,,,,
Cohene,1978,3,Rel.Subj,Ps,Residual,19,,,NA,NA,,,,,,
Cohene,1978,3,Reps.Subj,Qs,Residual,,,,NA,NA,,,,,,
Cohene,1978,3,Rel.Reps.Subj,PQs,Residual,,,,NA,NA,,,,,,
Smith,1984,1,Relatedness,P,Within,1,,,44.16,,,,,,,
Smith,1984,1,Repetitions,Q,Within,1,,,1.57,0.14,16,670,,16,638,
Smith,1984,1,Rel.Reps,PQ,Within,1,,,6.04,,,,,,,
Smith,1984,1,Subjects,s,Residual,15,,,NA,NA,,,,,,
Smith,1984,1,Rel.Subj,Ps,Residual,15,,,NA,NA,,,,,,
Smith,1984,1,Reps.Subj,Qs,Residual,15,,,NA,NA,,,,,,
Smith,1984,1,Rel.Reps.Subj,PQs,Residual,15,,,NA,NA,,,,,,
Smith,1984,2,Relatedness,P,Within,1,,,6.71,,,,,,,
Smith,1984,2,Repetitions,Q,Within,1,,,2.55,0.17,32,630,,32,705,
Smith,1984,2,Rel.Reps,PQ,Within,1,,,,,,,,,,
Smith,1984,2,Subjects,s,Residual,31,,,NA,NA,,,,,,
Smith,1984,2,Rel.Subj,Ps,Residual,31,,,NA,NA,,,,,,
Smith,1984,2,Reps.Subj,Qs,Residual,31,,,NA,NA,,,,,,
Smith,1984,2,Rel.Reps.Subj,PQs,Residual,31,,,NA,NA,,,,,,
Smith,1990,1,Repetitions,P,Within,31,,,2.74,0.08,32,910,,32,865,
Smith,1990,1,Subjects,s,Residual,31,,,,,,,,,,
Smith,1990,2,Condition,P,Within,4,9212,2303,15.47,0.28,,,,,,
Smith,1990,2,Repetitions,Q,Within,1,1728,1728,23.74,0.38,40,642,,40,622,
Smith,1990,2,Cond.Reps,PQ,Within,4,5448,1362,5.64,0.13,,,,,,
Smith,1990,2,Subjects,s,Residual,39,,,NA,NA,,,,,,
Smith,1990,2,Condition.Subj,Ps,Residual,156,23224,149,NA,NA,,,,,,
Smith,1990,2,Reps.Subj,Qs,Residual,39,2839,73,NA,NA,,,,,,
Smith,1990,2,Cond.Reps.Subj,PQs,Residual,156,37672,241,NA,NA,,,,,,
Balota,1997,1,Age,a,Between,1,1636644,1636644,36.35,0.34,,,,,,
Balota,1997,1,Strength,P,Within,1,16967,16967,81.82,0.54,,,,,,
Balota,1997,1,Relatedness,Q,Within,1,86493,86493,63.96,0.48,,,,,,
Balota,1997,1,Repetitions,R,Within,2,,,,,,,,,,
Balota,1997,1,Age.Str,aP,BW,1,,,,,,,,,,
Balota,1997,1,Age.Rel,aQ,BW,1,86493,86493,9.85,0.12,,,,,,
Balota,1997,1,Age.Reps,aR,BW,1,,,,,,,,,,
Balota,1997,1,Str.Rel,PQ,Within,1,,,,,,,,,,
Balota,1997,1,Str.Reps,PR,Within,1,,,,,,,,,,
Balota,1997,1,Rel.Reps,QR,Within,2,,,,,,,,,,
Balota,1997,1,Age.Str.Rel,aPQ,BW,1,11115,11115,6.88,0.09,,,,,,
Balota,1997,1,Age.Str.Reps,aPR,BW,2,,,,,,,,,,
Balota,1997,1,Age.Rel.Reps,aQR,BW,2,32160,16080,3.46,0.05,,,,,,
Balota,1997,1,Str.Rel.Reps,PQR,Within,2,,,,,,,,,,
Balota,1997,1,Age.Str.Rel.Reps,aPQR,BW,2,,,,,,,,,,
Balota,1997,1,Subjects,s/a,Residual,70,3151722,45025,NA,NA,,,,,,
Balota,1997,1,Strength.Subj,Ps/a,Residual,70,14516,207,NA,NA,,,,,,
Balota,1997,1,Relatedness.Subj,Qs/a,Residual,70,94661,1352,NA,NA,,,,,,
Balota,1997,1,Repetitions.Subj,Rs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,1,Age.Str.Subj,aPs/a,Residual,70,,,NA,NA,,,,,,
Balota,1997,1,Age.Rel.Subj,aQs/a,Residual,70,614671,8781,NA,NA,,,,,,
Balota,1997,1,Age.Reps.Subj,aRs/a,Residual,70,,,NA,NA,,,,,,
Balota,1997,1,Str.Rel.Subj,PQs/a,Residual,70,,,NA,NA,,,,,,
Balota,1997,1,Str.Reps.Subj,PRs/a,Residual,70,,,NA,NA,,,,,,
Balota,1997,1,Rel.Reps.Subj,QRs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,1,Age.Str.Rel.Subj,aPQs/a,Residual,70,113089,1616,NA,NA,,,,,,
Balota,1997,1,Age.Str.Reps.Subj,aPRs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,1,Age.Rel.Reps.Subj,aQRs/a,Residual,140,650636,4647,NA,NA,,,,,,
Balota,1997,1,Str.Rel.Reps.Subj,PQRs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,1,Age.Str.Rel.Reps.Subj,aPQRs/a,Residual,140,,,NA,NA,,,,,,
Balota,1997,2,Age,a,Between,1,616711,616711,84.77,0.47,,,,,,
Balota,1997,2,Strength,P,Within,1,14560,14560,150.13,0.61,,,,,,
Balota,1997,2,Relatedness,Q,Within,1,41654,41654,125.35,0.57,,,,,,
Balota,1997,2,Repetitions,R,Within,2,27406,13703,9.56,0.09,,,,,,
Balota,1997,2,Age.Str,aP,BW,1,14560,14560,17.38,0.16,,,,,,
Balota,1997,2,Age.Rel,aQ,BW,1,41654,41654,5.11,0.05,,,,,,
Balota,1997,2,Age.Reps,aR,BW,1,13703,13703,3.63,0.04,,,,,,
Balota,1997,2,Str.Rel,PQ,Within,1,17282,17282,26.39,0.22,,,,,,
Balota,1997,2,Str.Reps,PR,Within,1,,,,,,,,,,
Balota,1997,2,Rel.Reps,QR,Within,2,,,,,,,,,,
Balota,1997,2,Age.Str.Rel,aPQ,BW,1,17282,17282,4.33,0.04,,,,,,
Balota,1997,2,Age.Str.Reps,aPR,BW,2,,,,,,,,,,
Balota,1997,2,Age.Rel.Reps,aQR,BW,2,,,,,,,,,,
Balota,1997,2,Str.Rel.Reps,PQR,Within,2,,,,,,,,,,
Balota,1997,2,Age.Str.Rel.Reps,aPQR,BW,2,,,,,,,,,,
Balota,1997,2,Subjects,s/a,Residual,94,683860,7275,NA,NA,,,,,,
Balota,1997,2,Strength.Subj,Ps/a,Residual,94,9116,97,NA,NA,,,,,,
Balota,1997,2,Relatedness.Subj,Qs/a,Residual,94,31236,332,NA,NA,,,,,,
Balota,1997,2,Repetitions.Subj,Rs/a,Residual,188,269473,1433,NA,NA,,,,,,
Balota,1997,2,Age.Str.Subj,aPs/a,Residual,94,78748,838,NA,NA,,,,,,
Balota,1997,2,Age.Rel.Subj,aQs/a,Residual,94,766238,8151,NA,NA,,,,,,
Balota,1997,2,Age.Reps.Subj,aRs/a,Residual,94,354844,3775,NA,NA,,,,,,
Balota,1997,2,Str.Rel.Subj,PQs/a,Residual,94,61558,655,NA,NA,,,,,,
Balota,1997,2,Str.Reps.Subj,PRs/a,Residual,94,,,NA,NA,,,,,,
Balota,1997,2,Rel.Reps.Subj,QRs/a,Residual,188,,,NA,NA,,,,,,
Balota,1997,2,Age.Str.Rel.Subj,aPQs/a,Residual,94,375175,3991,NA,NA,,,,,,
Balota,1997,2,Age.Str.Reps.Subj,aPRs/a,Residual,188,,,NA,NA,,,,,,
Balota,1997,2,Age.Rel.Reps.Subj,aQRs/a,Residual,188,,,NA,NA,,,,,,
Balota,1997,2,Str.Rel.Reps.Subj,PQRs/a,Residual,188,,,NA,NA,,,,,,
Balota,1997,2,Age.Str.Rel.Reps.Subj,aPQRs/a,Residual,188,,,NA,NA,,,,,,
Balota,1997,3,Age,a,Between,1,668358,668358,55.87,0.44,,,,,,
Balota,1997,3,Frequency,P,Within,1,11101,11101,7.92,0.1,,,,,,
Balota,1997,3,Phon.Phon.Relatedness,Q,Within,1,42656,42656,50.42,0.42,,,,,,
Balota,1997,3,Repetitions,R,Within,2,,,,,,,,,,
Balota,1997,3,Age.Frq,aP,BW,1,,,,,,,,,,
Balota,1997,3,Age.Phon.Rel,aQ,BW,1,,,,,,,,,,
Balota,1997,3,Age.Reps,aR,BW,1,,,,,,,,,,
Balota,1997,3,Frq.Phon.Rel,PQ,Within,1,18018,18018,6.56,0.09,,,,,,
Balota,1997,3,Frq.Reps,PR,Within,1,,,,,,,,,,
Balota,1997,3,Phon.Rel.Reps,QR,Within,2,27402,13701,1.33,0.02,,,,,,
Balota,1997,3,Age.Frq.Phon.Rel,aPQ,BW,1,,,,,,,,,,
